geneID	logFC	logCPM	LR	PValue	FDR
g11489	-8.4446612337056	1.91874136214962	580.205457193418	3.38368262971773e-128	4.21547362341867e-126
g10131	-7.99930315766213	6.41575365336265	577.587791143237	1.25541444481858e-127	1.54702538705524e-125
g13044	-5.2704556737278	5.7088101558151	576.583544222633	2.0760277368073e-127	2.53074477980477e-125
g10306	3.19290975262193	4.757243720618	574.174569501221	6.93811314313146e-127	8.36780730890227e-125
g6582	-8.25957886004754	4.91300711840841	572.757181505157	1.41110106589797e-126	1.68396345095634e-124
g14515	4.30993735902783	4.9485280894968	572.671463948378	1.4730037027685e-126	1.73952531023818e-124
g3326	3.47282862723826	4.84338879102118	572.052199090632	2.00867475626007e-126	2.34766450636293e-124
g7597	-2.21690530470688	4.32924317621613	569.84699032851	6.06178331328008e-126	7.01249361455676e-124
g3993	-10.6051956212356	11.2253222675365	568.106164270448	1.44969969277233e-125	1.66012579969292e-123
g10288	3.07425742574386	5.00759187159016	564.456949022162	9.01756973145758e-125	1.02232188045535e-122
g4777	8.02577375219542	5.79394534790402	560.367109869023	6.99455878827279e-124	7.85121910719293e-122
g3557	-11.3504073680172	4.77537927943671	559.163664691231	1.27805728033295e-123	1.42052307717006e-121
g14617	-11.6525184297587	2.75924847554134	559.007039436192	1.38236165247736e-123	1.52153728680931e-121
g7833	3.57952238547046	6.60443950524927	551.105271172641	7.2368433267117e-122	7.88885507643562e-120
g10917	-4.74025364475733	2.25450529552414	550.787189797342	8.48681195674865e-122	9.16333210987232e-120
g9187	3.49155053282297	4.72720837584722	550.040300382055	1.23373860494341e-121	1.31951835511731e-119
g5653	3.52091266126693	2.75140276899675	549.900568852721	1.32318461478374e-121	1.4019573811031e-119
g1436	2.21847130579971	4.99023283839237	549.638746556204	1.50861170569763e-121	1.58362323217537e-119
g10223	2.63878831164304	4.68239682781882	549.065622313373	2.01027535170616e-121	2.08675658852192e-119
g10224	3.17350751159707	4.4613216085439	549.051322573005	2.02472633622132e-121	2.08675658852192e-119
g14702	-12.1240960524311	9.97412649787368	548.523812905229	2.63706949454383e-121	2.69337449185976e-119
g7214	-2.20689219561868	5.09229129607852	547.292078017917	4.88737658208562e-121	4.94715967063435e-119
g1517	6.10676231282395	15.3044399019915	543.490840883355	3.28104302794668e-120	3.29178626617978e-118
g11444	-10.702048542174	1.8478193562558	543.390012267534	3.45101401949873e-120	3.43194262623308e-118
g3894	-7.27653756287533	7.85521499323776	543.286224027958	3.63517549036799e-120	3.58365082906973e-118
g3723	-3.83127063295095	8.67161396076221	537.804361181353	5.66357800860439e-119	5.53517102444379e-117
g873	-2.69802864779013	5.14961490744737	533.773419548665	4.26605437581649e-118	4.13369730415655e-116
g10950	-12.175812193997	3.28258924443201	533.138226899648	5.86427485928364e-118	5.63417661692361e-116
g11379	3.26770543406142	3.45837370274742	528.69455960448	5.43194192670021e-117	5.17495173302523e-115
g5772	2.76181211741101	3.82267326452134	528.259553873787	6.75450430633145e-117	6.38131794340664e-115
g14778	-6.71451390138742	3.28439818907904	527.582097857132	9.48372160749914e-117	8.88569850117502e-115
g3213	-11.6721051066733	2.78973860194471	525.207592996095	3.11581609561653e-116	2.89541041606595e-114
g12660	4.11164718627313	4.95289039420078	524.925736316349	3.58832971888623e-116	3.30738975796855e-114
g12556	-3.65302215519474	5.2758465179054	521.829814556054	1.69216550193535e-115	1.54710324963234e-113
g12311	-11.7931317292704	10.0470739904507	519.827081076765	4.6149043498687e-115	4.18553364915692e-113
g11264	-4.01244234287339	4.47976144254512	514.744879168206	5.88672962720692e-114	5.29665506219403e-112
g14042	-3.05797361511262	5.06442872323764	514.1734520557	7.83787213909727e-114	6.99668948353903e-112
g3273	10.5801513224457	7.3265858470136	512.420303901194	1.88637597652893e-113	1.6707690973366e-111
g1737	2.57423179018379	4.90354663664429	509.030348077334	1.03082169040472e-112	9.05924457683591e-111
g7467	4.85277108901921	4.04158368605302	508.660603218481	1.24059434413504e-112	1.08189369841992e-110
g6359	9.33417764383013	3.24053488137347	508.022220139111	1.70814429846395e-112	1.47826197799129e-110
g773	-2.53685822255818	5.78748604256429	507.915413035545	1.80203367954242e-112	1.54770119886155e-110
g6228	-3.12335546911736	3.85248430261657	504.277859716261	1.11481347230571e-111	9.50273709438334e-110
g12162	5.23255323225326	4.93012558798029	501.245765831454	5.09234082946881e-111	4.30834835699163e-109
g6486	-4.40341117789768	6.80810437076935	500.391635233269	7.81193173524589e-111	6.56028667277649e-109
