AVf1	AVf2	AVf3	AVm1	AVm2	AVm3	HtVf1	HtVf2	HtVf3	HtVm1	HtVm2	HtVm3
g63	26.7521473195242	28.6752928899118	27.9732352721274	14.1160844286771	12.7984050631293	16.6218556261829	12.2003318735861	7.73628756526032	13.9040208866073	8.82314842587177	11.5477265446793	8.4990772515445
g64	511.578865257688	510.795588803364	513.982449921275	506.338159172489	529.294577124299	520.644514014012	389.016354033687	365.858528744995	410.665397060911	421.767646672516	432.897085849758	428.63113381863
g65	20.0445914118638	22.8186843491574	21.2531041880901	4.25266421971203	4.38999762571368	5.25256051662488	8.68581880516456	8.0677837877629	7.53826454900988	6.45074506231338	5.49777346268127	6.03370848443584
g66	42.8071896988254	45.62317850905	48.724674653924	8.92969196028704	9.13417765010491	9.62367223657453	23.9519019880147	19.7080195028812	22.887816841636	16.6184100308129	21.2202188561789	19.5522899907107
g67	39.7218940142315	50.341812497487	41.9179872530071	18.780527855278	16.7127979785942	19.4848493457066	18.4517626526638	18.434155240061	22.8579007338785	17.5539209344381	19.8423539301255	19.5421585205845
g68	7.928930931871	8.50059859242883	8.69114990541592	4.3825826785627	1.08483308605552	1.9290055241503	2.91990027162954	3.18313632531608	5.52523092258805	2.16680433715976	2.45371887571241	5.592465390109
g69	26.4532833003796	26.9984201311319	27.0521672451881	7.61306048131188	5.65029587246397	6.60122134549589	6.6810000722914	8.93423843994488	9.30146965403359	4.50042694393164	4.65951546714931	3.90104946975662
g70	0	0	0.517506015469223	0	0	0	0.309247418759729	0.555803675579729	0	0	0	0
g71	179.441102758901	170.914153017802	173.689893215868	177.791356560096	189.164209069675	192.088549448099	151.079400640307	160.490807447938	170.285829271663	205.302239540883	194.195222016223	200.024782690536
g72	65.3023796021418	65.5407943142016	59.3389690555484	5.74563334311882	6.64155916774639	8.77295494168249	14.0079055220741	14.5368302979556	18.574923740563	6.38012076262258	6.62200644008742	5.8140273276459
g73	439.511074357467	449.987155801401	441.287729510916	439.716029953291	493.933266194466	429.145399670688	1188.7718175059	1056.23818899821	941.657836095994	1699.70838982141	1684.96524663903	1501.43767320059
g74	132.843673601441	147.278404857705	136.673338685422	62.6716701119783	65.0451314876578	67.089204625344	90.2899380305489	87.1222261471225	88.0498861146115	84.8587646185054	93.2267118075733	91.530016884784
g75	0	0.202690069390179	0	1.51998876539824	2.48323098020168	2.41805520970467	0.219140362011556	0	0	0.354279363817996	0.229251884872231	0.120767933612329
