geneID	logFC	logCPM	LR	PValue	FDR
g2518	3.29209700752928	4.68083943716813	208.783430208691	2.53099006198767e-47	4.41443605119295e-45
g9187	2.56718630879018	4.72720837584722	207.580097810771	4.63269948926981e-47	7.95771425906847e-45
g11711	2.01735083567314	7.63301694820306	205.707181331051	1.18708632351357e-46	2.00865636562289e-44
g817	4.34978274717435	0.960019131141139	204.867974656386	1.80964322101138e-46	3.01704782303029e-44
g3529	10.3480367600851	1.83624293477745	204.355396217542	2.3411904513546e-46	3.84667770246479e-44
g4717	2.32091016494373	7.80325404324001	204.026006264052	2.76254782160861e-46	4.47414352193955e-44
g9531	2.85275419146124	4.48061846345757	203.286021116647	4.00660915872018e-46	6.39759549752264e-44
g6911	-2.86071519669396	6.99545532898003	203.166080461983	4.25548130689784e-46	6.70060994115289e-44
g7630	-4.59703261969091	2.32247415114915	201.774467539333	8.56271912014677e-46	1.32980200911101e-43
g2366	1.91581350859461	4.2693003390522	200.456193231888	1.66066058228493e-45	2.54417689477895e-43
g881	1.47974709564451	5.27995674060758	200.016400820332	2.07134706041266e-45	3.13104821651977e-43
g6962	2.7511658995915	3.63477302015124	199.869041265544	2.23054027989579e-45	3.32732041489191e-43
g2892	-1.17951017737661	4.76488125162052	197.60163147149	6.96987556545872e-45	1.02620102968319e-42
g9663	3.29524039279103	3.66361615685508	197.488686528527	7.37689553447507e-45	1.07220339326082e-42
g12027	10.9658125779808	4.37903398335567	193.030822881461	6.93098042636343e-44	9.94639558147875e-42
g9530	2.27060354979816	5.45585123430529	192.968442145422	7.15171095447431e-44	1.01348683863594e-41
g14760	6.89571707210873	7.28184822691977	191.372340907961	1.59508633370277e-43	2.2325300944677e-41
g6401	4.84228582210421	5.12409804881729	187.577809167098	1.07413880530682e-42	1.48506239460529e-40
g12660	2.92587288327014	4.95289039420078	184.562225942668	4.89067104112142e-42	6.68018525219199e-40
g8940	7.20793477238942	6.85079004399067	184.249819756287	5.722299459676e-42	7.72306059218415e-40
g9671	3.42171143526133	5.44767095646309	181.952556566831	1.81597732464061e-41	2.4220864622883e-39
g2382	1.4879559283318	5.18660044556964	181.004981931556	2.92412067454375e-41	3.85473907991889e-39
g2150	6.4630767071121	4.43582045485396	180.981151674973	2.95936306226328e-41	3.8563562111355e-39
g9932	-1.40283942299516	4.63533879878278	180.562558304013	3.6525153790814e-41	4.70551896052794e-39
g9209	5.22425908114326	5.04204301925506	180.008329761129	4.8261586312727e-41	6.14765847221782e-39
g5128	6.22737707380904	4.24303605697219	179.596159436147	5.93739074262655e-41	7.47913320546191e-39
g9072	2.70169369880175	5.80005755847581	179.102656837839	7.6093819260418e-41	9.47995196654241e-39
g10026	3.50655969670946	3.07830361066439	178.090641898367	1.26567642317932e-40	1.55967104451999e-38
g4157	3.91342697971831	5.96536151117786	176.033287656924	3.5609584730293e-40	4.34092324825088e-38
g1247	4.44225435464085	5.1493923479732	174.988618236164	6.02132633252203e-40	7.26210389700024e-38
g11211	2.24886745271367	7.24557949838161	173.652076095407	1.17913882137252e-39	1.40714703346318e-37
g226	4.3950901198525	5.65086220254996	172.045593310752	2.64486647129043e-39	3.12342199843954e-37
g4912	2.48641524419912	4.07626131087008	170.947318691089	4.59479267879872e-39	5.37022315459187e-37
